Date,BRC,GS,LR,Target_FR12Mts
12/1/2018,0.075223959,0,0.001757514,0.29
11/1/2018,0.236448379,0.0175,0.016068659,0.14
10/1/2018,0.272046946,0.011527778,0.016713226,0.12
9/1/2018,0.232437986,0.017916667,0.000584554,0.02
7/1/2018,0.266802453,0.038194444,0.003150275,0.06
6/1/2018,0.118290551,0,0.000558077,0.08
5/1/2018,0.167281582,0.003055556,0.002265432,0.02
4/1/2018,0.129795885,0,0.003531305,0.11
3/1/2018,0.151508008,0,0.02780373,0.07
2/1/2018,0.258421451,0.036527778,0.058378003,0.03
1/1/2018,0.613835413,0.991388889,0.183391382,-0.04
12/1/2017,0.583042484,0.91375,0.447775982,-0.06
11/1/2017,0.277611562,0,0.42227754,0.04
10/1/2017,0.271481906,0,0.383262876,0.05
8/1/2017,0.265360279,0,0.318197435,0.17
7/1/2017,0.277151956,0,0.230854612,0.14
5/1/2017,0.303054455,0,0.118745023,0.12
3/1/2017,0.203755168,0.000555556,0.186343229,0.12
2/1/2017,0.219686873,0.000555556,0.472049647,0.15
1/1/2017,0.096964344,0,0.14906854,0.24
12/1/2016,0.061084287,0,0.326523907,0.19
11/1/2016,0.061403079,0.001111111,0.127364602,0.2
10/1/2016,0.132516704,0.002222222,0.144235174,0.21
9/1/2016,0.092270491,0,0.092856019,0.16
8/1/2016,0.110612917,0.000555556,0.150975939,0.14
7/1/2016,0.093443619,0,0.060211262,0.14
6/1/2016,0.143703809,0.001666667,0.124581996,0.15
2/1/2016,0.118465762,0.000555556,0.030693491,0.22
1/1/2016,0.118306603,0.000555556,0.045864755,0.17
12/1/2015,0.112419981,0,0.052367403,0.1
11/1/2015,0.11351973,0,0.01868708,0.06
10/1/2015,0.155206194,0.002916667,0.058891297,0.02
9/1/2015,0.2379656,0.007777778,0.034296312,0.13
8/1/2015,0.232188392,0.012083333,0.066318766,0.09
7/1/2015,0.32858391,0.007083333,0.153456265,0.03
6/1/2015,0.395125721,0.006944444,0.161613734,0.02
4/1/2015,0.842385503,0.904444444,0.276940449,-0.01
3/1/2015,0.6631217,0.239861111,0.064350653,0
2/1/2015,0.712546671,0.690555556,0.135955313,-0.08
1/1/2015,0.775345112,0.976527778,0.402353722,-0.03
12/1/2014,0.811109761,0.827222222,0.579218063,-0.01
11/1/2014,0.721991092,0.295416667,0.715806447,0.01
10/1/2014,0.674344356,0.175138889,0.340815472,0.04
9/1/2014,0.652859711,0.8425,0.267009133,-0.03
8/1/2014,0.779854804,0.947916667,0.121872908,-0.01
7/1/2014,0.30316759,0.008888889,0.093120718,0.09
5/1/2014,0.430433747,0.049444444,0.14363055,0.1
4/1/2014,0.283718365,0.010416667,0.138174376,0.11
2/1/2014,0.252611303,0.001805556,0.012543323,0.13
1/1/2014,0.100298451,0,0.018111077,0.12
12/1/2013,0.147451265,0.000555556,0.022819589,0.11
11/1/2013,0.107687695,0,0.020841264,0.14
10/1/2013,0.110878015,0,0.014955208,0.15
9/1/2013,0.068320485,0,0.008148717,0.17
8/1/2013,0.064473019,0.000972222,0.018007657,0.23
7/1/2013,0.09543328,0.00125,0.030407838,0.14
6/1/2013,0.064997513,0.000972222,0.020759624,0.22
4/1/2013,0.147747725,0,0.023550476,0.18
3/1/2013,0.101676831,0,0.029661398,0.19
2/1/2013,0.084916483,0.000833333,0.021711001,0.23
1/1/2013,0.093815746,0.000833333,0.016284114,0.19
12/1/2012,0.109592427,0.000972222,0.009504019,0.3
11/1/2012,0.113440293,0.001944444,0.011801529,0.27
10/1/2012,0.109070672,0.001388889,0.015074416,0.24
9/1/2012,0.084663776,0.002361111,0.019834178,0.17
8/1/2012,0.04624128,0,0.021169385,0.16
7/1/2012,0.03337477,0,0.031333564,0.23
6/1/2012,0.025585756,0.000416667,0.019053804,0.18
5/1/2012,0.041831335,0.000555556,0.008454814,0.24
4/1/2012,0.028296399,0,0.01405884,0.14
3/1/2012,0.052185258,0,0.027004357,0.11
2/1/2012,0.042613325,0.000416667,0.020662016,0.11
1/1/2012,0.061393497,0.000555556,0.012580814,0.14
12/1/2011,0.071263576,0.003333333,0.02132365,0.13
11/1/2011,0.079661092,0,0.020067523,0.14
10/1/2011,0.074108197,0,0.012309335,0.13
9/1/2011,0.133150809,0.019861111,0.008236574,0.27
8/1/2011,0.100516734,0,0.015733951,0.15
7/1/2011,0.213924602,0.013611111,0.017434903,0.06
6/1/2011,0.198272656,0.020555556,0.022985952,0.03
5/1/2011,0.466192124,0.794861111,0.040281963,-0.03
4/1/2011,0.297619657,0.081944444,0.047648918,0.03
3/1/2011,0.206042452,0.015416667,0.043112761,0.06
2/1/2011,0.290755102,0.047638889,0.033793446,0.03
1/1/2011,0.30082078,0.036666667,0.037964621,0.02
11/1/2010,0.287716502,0.009583333,0.006703139,0.05
10/1/2010,0.308080813,0.045277778,0.01022453,0.06
9/1/2010,0.488003378,0.725972222,0.014074327,-0.01
8/1/2010,0.175682624,0.068611111,0.011369706,0.16
7/1/2010,0.286808921,0.051944444,0.021139654,0.17
6/1/2010,0.161442076,0.009305556,0.016882291,0.28
5/1/2010,0.230743226,0.012361111,0.013010551,0.23
4/1/2010,0.249328572,0.016388889,0.027221024,0.15
3/1/2010,0.325935977,0.021388889,0.07886013,0.13
2/1/2010,0.182285462,0.000833333,0.06745608,0.2
1/1/2010,0.181500687,0.010555556,0.059762583,0.2
12/1/2009,0.220918995,0.0175,0.089416311,0.13
11/1/2009,0.14512768,0.001388889,0.193812568,0.08
10/1/2009,0.128309159,0.00375,0.161406021,0.14
9/1/2009,0.125804969,0.001388889,0.148489446,0.08
8/1/2009,0.101999031,0.006111111,0.22217965,0.03
6/1/2009,0.118021805,0.001111111,0.127703274,0.12
5/1/2009,0.12650281,0.001111111,0.19004726,0.18
4/1/2009,0.123121293,0,0.059203981,0.36
3/1/2009,0.113099103,0,0.073039371,0.47
2/1/2009,0.140199308,0,0.054460279,0.5
1/1/2009,0.124260482,0,0.126679422,0.3
12/1/2008,0.11468418,0.001111111,0.341904155,0.23
11/1/2008,0.180782172,0.001111111,0.497475149,0.22
10/1/2008,0.261884983,0.037777778,0.52428266,0.07
9/1/2008,0.737514407,0.9325,0.790357481,-0.09
8/1/2008,0.924540576,1,0.732547952,-0.2
7/1/2008,0.94995009,0.99875,0.805338893,-0.22
6/1/2008,0.951674191,0.999444444,0.638552954,-0.28
4/1/2008,0.982776881,0.999444444,0.889929849,-0.37
3/1/2008,0.95272737,0.998055556,0.780941185,-0.4
2/1/2008,0.909719481,0.997083333,0.715031603,-0.45
1/1/2008,0.851192841,0.933333333,0.74606735,-0.4
11/1/2007,0.921191072,0.998333333,0.907818974,-0.39
10/1/2007,0.974849681,1,0.913581758,-0.37
9/1/2007,0.983623975,1,0.915862766,-0.24
8/1/2007,0.982988153,0.988611111,0.735338388,-0.13
7/1/2007,0.977353562,0.998333333,0.57503451,-0.13
6/1/2007,0.978414051,1,0.664471184,-0.15
5/1/2007,0.971424817,1,0.733339416,-0.08
4/1/2007,0.970367878,1,0.608349761,-0.07
3/1/2007,0.951922003,0.996944444,0.380132261,-0.07
2/1/2007,0.894015981,0.931944444,0.301032489,-0.05
1/1/2007,0.920515915,0.961111111,0.44522054,-0.04
12/1/2006,0.747242724,0.0625,0.445220011,0.03
11/1/2006,0.686587469,0.050277778,0.387157458,0.06
10/1/2006,0.629351463,0.042638889,0.470721035,0.12
9/1/2006,0.435556575,0.010138889,0.637515853,0.14
8/1/2006,0.373335458,0.010138889,0.729700763,0.13
7/1/2006,0.282977014,0,0.656366601,0.14
6/1/2006,0.182815579,0,0.443975208,0.18
5/1/2006,0.1193544,0,0.413820167,0.2
4/1/2006,0.213560097,0,0.552430447,0.13
3/1/2006,0.249938261,0,0.440112412,0.09
2/1/2006,0.151045493,0,0.34686958,0.1
1/1/2006,0.142829558,0,0.299391391,0.13
12/1/2005,0.099108552,0,0.279502681,0.14
11/1/2005,0.180670181,0,0.311860146,0.12
9/1/2005,0.150122793,0,0.133364564,0.09
8/1/2005,0.099338851,0,0.058794097,0.07
7/1/2005,0.094543438,0,0.053394453,0.03
6/1/2005,0.082654345,0.002916667,0.055658168,0.07
5/1/2005,0.092604339,0.000416667,0.074890069,0.07
4/1/2005,0.220357966,0.010972222,0.085821791,0.14
3/1/2005,0.144290084,0.000416667,0.043368231,0.1
2/1/2005,0.076343181,0,0.06047414,0.06
1/1/2005,0.063194712,0.000416667,0.041927518,0.08
12/1/2004,0.112186473,0.000555556,0.029245259,0.03
11/1/2004,0.109155717,0.000555556,0.030600063,0.06
10/1/2004,0.095750378,0,0.023672136,0.06
9/1/2004,0.136751881,0.003333333,0.042629061,0.1
8/1/2004,0.173992205,0.003888889,0.089382252,0.1
7/1/2004,0.262111971,0.001666667,0.076426026,0.12
5/1/2004,0.190313709,0.009722222,0.10618528,0.06
4/1/2004,0.202329506,0.006666667,0.063896917,0.04
3/1/2004,0.100797763,0.004027778,0.047460645,0.04
2/1/2004,0.100209732,0.002777778,0.068311664,0.05
1/1/2004,0.163248595,0.003333333,0.038305996,0.04
12/1/2003,0.087870575,0,0.027064253,0.09
11/1/2003,0.167803734,0.005833333,0.02276342,0.11
10/1/2003,0.149288737,0.001388889,0.023009012,0.08
9/1/2003,0.162114902,0.003611111,0.017606432,0.12
8/1/2003,0.29329186,0.029305556,0.01672686,0.1
7/1/2003,0.300568246,0.027222222,0.028264554,0.12
6/1/2003,0.170430806,0.004166667,0.013226903,0.17
5/1/2003,0.188911423,0.004166667,0.017107934,0.16
4/1/2003,0.159337541,0.002222222,0.013502758,0.21
3/1/2003,0.12127583,0,0.013487643,0.33
2/1/2003,0.11883761,0,0.023421819,0.35
1/1/2003,0.11785726,0,0.041564257,0.32
12/1/2002,0.106444966,0,0.056578108,0.26
11/1/2002,0.177524702,0.006666667,0.083105626,0.13
10/1/2002,0.136725585,0.004583333,0.080298427,0.19
8/1/2002,0.164598674,0.005,0.086669332,0.11
7/1/2002,0.239420556,0.020694444,0.099149696,0.09
6/1/2002,0.547707098,0.863333333,0.068985881,-0.01
5/1/2002,0.87802157,0.993333333,0.203537787,-0.1
4/1/2002,0.885777963,0.996805556,0.213919406,-0.15
3/1/2002,0.888714984,0.994583333,0.467898042,-0.26
2/1/2002,0.88087096,0.996111111,0.277163979,-0.24
1/1/2002,0.962282702,0.995416667,0.337617791,-0.24
12/1/2001,0.984130727,0.99875,0.540672404,-0.23
11/1/2001,0.95825672,0.999583333,0.721523962,-0.18
10/1/2001,0.681035482,0.941111111,0.629533919,-0.16
8/1/2001,0.932867352,0.979027778,0.651929382,-0.2
7/1/2001,0.949097243,0.991388889,0.68028413,-0.25
5/1/2001,0.957159475,0.995416667,0.864588637,-0.15
4/1/2001,0.961026528,0.99875,0.879881066,-0.15
3/1/2001,0.919505323,0.95125,0.647775436,-0.02
2/1/2001,0.95893478,0.984444444,0.907596334,-0.1
1/1/2001,0.917791108,0.970972222,0.975658396,-0.17
11/1/2000,0.926874526,0.975138889,0.996226457,-0.14
10/1/2000,0.980139183,0.997222222,0.9986309,-0.26
9/1/2000,0.955738164,0.995555556,0.996824084,-0.27
8/1/2000,0.938988224,0.994444444,0.998773774,-0.25
6/1/2000,0.948813792,0.991527778,0.991004778,-0.16
5/1/2000,0.967919599,0.996666667,0.963112395,-0.12
4/1/2000,0.944099754,0.997083333,0.834792399,-0.13
2/1/2000,0.81586411,0.990416667,0.60458746,-0.1
1/1/2000,0.903521463,0.965138889,0.781768502,-0.02
12/1/1999,0.867101222,0.972361111,0.561638603,-0.11
11/1/1999,0.857561296,0.915,0.780584417,-0.05
10/1/1999,0.739323395,0.216527778,0.751610314,0.04
8/1/1999,0.535147495,0.016666667,0.666076354,0.15
7/1/1999,0.503539836,0.01125,0.49119065,0.08
5/1/1999,0.507438654,0.001666667,0.396478164,0.1
4/1/1999,0.525904329,0.019027778,0.361440806,0.09
3/1/1999,0.486709619,0.012083333,0.412267545,0.17
2/1/1999,0.489118094,0.00875,0.340937142,0.11
1/1/1999,0.376172205,0.04625,0.382815666,0.09
12/1/1998,0.439466911,0.01375,0.416352607,0.19
